,MÃ CK,TÊN CÔNG TY,GIÁ,SÀN
355,CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương,33.8,HNX
356,CTC,Công ty cổ phần Gia Lai CTC,3.8,HNX
357,CTD,Công ty Cổ phần Xây dựng Coteccons,112,HSX
358,CTF,Công ty cổ phần City Auto,23.1,HSX
359,CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,21.7,HSX
360,CTGROUP,CTCP Tập đoàn C.T,,OTC
361,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,22.95,HSX
362,CTIN,CTCP Viễn Thông Tin Học Bưu Điện,,OTC
363,CTM,Công ty Cổ phần Đầu tư Xây dựng và Khai thác mỏ Vinavico,,HNX
364,CTN,Công ty Cổ phần Xây dựng Công trình ngầm,0.2,Upcom
365,CTNQN,Công ty cổ phần Cấp thoát nước Quảng Nam,,OTC
366,CTP,Công ty Cổ phần Cà Phê Thương Phú,3.2,HNX
367,CTR,Tổng Công ty Cổ phần Công trình Viettel,33.7,Upcom
368,CTS,Công ty cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,9.2,HSX
369,CTT,CTCP Chế tạo máy Vinacomin,8.8,HNX
370,CTV,Công ty cổ phần Đầu tư-Sản xuất và Thương mại Việt Nam,3.3,HNX
371,CTW,CTCP Cấp thoát nước Cần Thơ,9,Upcom
372,CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,30.5,HNX
373,CVC,Công ty Cổ Phần Cơ điện Vật tư,10,Upcom
374,CVH,"Công ty Cổ phần Công viên, Cây xanh Hải Phòng",11.3,Upcom
375,CVN,Công ty cổ phần Vinam,12,HNX
376,CVSM,Công ty Cổ phần Chứng khoán VSM,,OTC
377,CVT,Công ty Cổ phần CMC,20.85,HSX
378,CX8,Công ty cổ phần Đầu tư và Xây lắp Constrexim số 8,9.5,HNX
379,CXH,CTCP Xe khách Hà Nội,7,Upcom
380,CYC,Công ty Cổ phần Gạch men Chang Yih,0.8,Upcom
381,CZC,Công ty cổ phần Than miền Trung,5,Upcom
382,D11,Công ty Cổ phần Địa ốc 11,17.8,HNX
383,D26,Công ty Cổ phần Quản lý và Xây dựng Đường bộ 26,10.5,Upcom
384,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,79.8,HSX
385,DAC,Công ty Cổ phần Viglacera Đông Anh,13,Upcom
386,DACF,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Đông Á,,OTC
387,DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,17,HNX
388,DAE,Công ty Cổ phần Sách Giáo dục tại Tp. Đà Nẵng,16.2,HNX
389,DAF,Ngân hàng Thương mại cổ phần Đông Á,,OTC
390,DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,6.86,HSX
391,DAH,Công ty cổ phần Tập đoàn Khách sạn Đông Á,13.5,HSX
392,DAINAM,CTCP Đại Nam,,OTC
393,DALATMILK,CTCP Sữa Đà Lạt,,OTC
394,DAP,Công ty Cổ phần Đông Á,69.1,Upcom
395,DAR,Công ty Cổ phần Xe lửa Dĩ An,7.2,Upcom
396,DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,7.5,Upcom
397,DASC,Công ty TNHH MTV Chứng khoán Ngân hàng Đông Á,,OTC
398,DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,16.3,HSX
399,DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,23.5,HNX
400,DBD,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định,43.4,HSX
401,DBF,Công ty Cổ phần Lương thực Đông Bắc,9.9,OTC
402,DBH,CTCP Đường bộ Hải Phòng,9.7,Upcom
403,DBM,Công ty Cổ phần Dược - Vật tư Y tế Đăk Lăk,49,Upcom
404,DBT,Công ty Cổ phần Dược phẩm Bến Tre,11.8,HNX
405,DBW,Công ty Cổ phần Cấp nước Điện Biên,10,Upcom
406,DC1,Công ty cổ phần Đầu tư Phát triển Xây dựng số 1,10.2,Upcom
407,DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng số 2,5,HNX
408,DC4,Công ty Cổ phần DIC số 4,10.6,HNX
409,DCC,Công ty Cổ phần Xây dựng Công nghiệp DESCON,2.01,HSX
410,DCD,CTCP Du lịch và Thương mại DIC,14.7,Upcom
411,DCF,Công ty Cổ phần Xây dựng và Thiết kế số 1,8.2,Upcom
412,DCG,CTCP Tổng công ty May Đáp Cầu,23,Upcom
413,DCH,Công ty Cổ phần Địa chính Hà Nội,5.5,Upcom
414,DCI,Công ty Cổ phần Công nghiệp Hóa chất Đà Nẵng,2.8,Upcom
415,DCL,Công ty Cổ phần Dược phẩm Cửu Long,18,HSX
416,DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,8.03,HSX
417,DCR,Công ty cổ phần Gạch men Cosevco,9.6,Upcom
418,DCS,Công ty Cổ phần Tập đoàn Đại Châu,0.4,Upcom
419,DCT,Công ty Cổ phần Tấm lợp Vật liệu xây dựng Đồng Nai,0.7,Upcom
420,DCVEIL,Dragon Capital Vietnam Enterprise Investment Ltd,,OTC
421,DCVGF,Dragon Capital Vietnam Growth Fund Ltd,,OTC
422,DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,25.6,HNX
423,DDH,CTCP Đảm bảo giao thông đường thủy Hải Phòng,5.3,Upcom
424,DDM,Công ty Cổ phần Hàng hải Đông Đô,0.8,Upcom
425,DDN,Công ty Cổ phần Dược - Thiết bị Y tế Đà Nẵng,11,Upcom
426,DDS,Công ty Cổ phần Chứng khoán Đông Dương,,OTC
427,DDV,Công ty cổ phần DAP - VINACHEM,7.4,Upcom
428,DELOITTE,Công ty TNHH Deloitte Việt Nam,,OTC
429,DFC,Công ty Cổ phần Xích líp Đông Anh,31.9,Upcom
430,DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,29.9,HNX
431,DGL,CTCP Hóa chất Đức Giang – Lào Cai,,HNX
432,DGT,Công ty cổ phần Công trình Giao thông Đồng Nai,24.6,Upcom
433,DGW,Công ty cổ phần Thế giới số,23.8,HSX
434,DHA,Công ty Cổ phần Hóa An,36.6,HSX
435,DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,9.1,Upcom
436,DHC,Công ty Cổ phần Đông Hải Bến Tre,43.8,HSX
437,DHD,Công ty cổ phần Dược Vật tư Y tế Hải Dương,32,Upcom
438,DHG,Công ty Cổ phần Dược Hậu Giang,102.3,HSX
439,DHI,Công ty cổ phần In Diên Hồng,5.6,HNX
440,DHL,Công ty cổ phần Cơ khí Vận tải Thương mại Đại Hưng,,HNX
441,DHM,Công ty cổ phần Thương mại và khai thác khoáng sản Dương Hiếu,4.79,HSX
442,DHN,Công ty Cổ phần Dược phẩm Hà Nội,12.4,Upcom
443,DHP,Công ty Cổ phần Điện Cơ Hải Phòng,9.8,HNX
444,DHT,Công ty Cổ phần Dược phẩm Hà Tây,34.9,HNX
445,DIANA,CTCP Diana Unicharm,,OTC
446,DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,3,HSX
447,DID,Công ty Cổ phần DIC - Đồng Tiến,5.8,HNX
448,DIENMAYCHOLON,Công ty TNHH Cao Phong,,OTC
449,DIENMAYHC,Công ty TNHH thương mại VHC,,OTC
450,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,13.2,HSX
451,DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,22,HNX
452,DKP,Công ty cổ phần Dược khoa,10,Upcom
453,DL1,Công ty Cổ phần Đầu tư Phát triển Dịch vụ Công trình Công cộng Đức Long Gia Lai,30,HNX
454,DLC,Công ty cổ phần Du lịch Cần Thơ,38.8,Upcom
455,DLD,Công ty Cổ phần Du lịch Đắk Lắk,9,Upcom
456,DLG,Công ty Cổ phần Tập đoàn DLG,1.54,HSX
457,DLR,Công ty Cổ phần Địa ốc Đà Lạt,11.8,Upcom
458,DLT,CTCP Du lịch và Thương mại – Vinacomin,15.1,Upcom
459,DLV,Công ty Cổ phần Du lịch Việt Nam Vitours,13,Upcom
460,DM7,Công ty cổ phần Dệt may 7,10.6,Upcom
461,DMC,Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,69.8,HSX
462,DNA,Công ty Cổ phần Điện nước An Giang,19.3,Upcom
463,DNB,Công ty TNHH MTV Sách và Thiết bị trường học tỉnh Đắk Nông,11.5,Upcom
464,DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,28,HNX
465,DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,29,Upcom
466,DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,8.4,Upcom
467,DNF,Công ty Cổ phần Lương thực Đà Nẵng,2.2,Upcom
468,DNH,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,26.5,Upcom
469,DNL,Công ty cổ phần Logistic Cảng Đà Nẵng,15.5,Upcom
470,DNM,Tổng Công ty cổ phần Y tế Danameco,10.1,HNX
471,DNN,Công ty Cổ phần Cấp nước Đà Nẵng,3.1,Upcom
472,DNP,Công ty Cổ phần Nhựa Đồng Nai,14.8,HNX
473,DNR,CTCP Đường sắt Quảng Nam - Đà Nẵng,6.2,Upcom
474,DNS,Công ty Cổ phần Thép Đà Nẵng,11.1,Upcom
475,DNSE,Công ty Cổ phần Chứng khoán Đại Nam,,OTC
476,DNT,Công ty Cổ phần Du lịch Đồng Nai,14,Upcom
477,DNV,CTCP Thương mại Dịch vụ VDA Đà Nẵng,,OTC
478,DNW,Công ty cổ phần Cấp nước Đồng Nai,17.5,Upcom
479,DNY,Công ty Cổ phần Thép Dana - Ý,3.5,HNX
480,DOC,Công ty cổ phần Vật tư nông nghiệp Đồng Nai,8,Upcom
481,DOFICO,Tổng Công ty Công nghiệp Thực phẩm Đồng Nai,,OTC
482,DOJI,CTCP Tập đoàn Vàng bạc đá quý Doji,,OTC
483,DONA,Công ty cổ phần Thực phẩm và nước giải khát Dona Newtower,,OTC
484,DOP,CTCP Vận tải Xăng dầu Đồng Tháp,13.2,Upcom
485,DP1,Công ty Cổ phần dược phẩm Trung ương CPC1,13.9,Upcom
486,DP2,Công ty Cổ phần Dược phẩm Trung ương 2,7.4,Upcom
487,DP3,Công ty Cổ phần Dược phẩm Trung ương 3,63,HNX
488,DPC,Công ty Cổ phần Nhựa Đà Nẵng,32.9,HNX
489,DPG,Công ty Cổ phần Đạt Phương,38.45,HSX
490,DPH,Công ty Cổ phần Dược phẩm Hải Phòng,22.3,Upcom
491,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,15.4,HSX
492,DPP,Công ty Cổ phần Dược Đồng Nai,14.5,Upcom
493,DPR,Công ty Cổ phần Cao su Đồng Phú,43.6,HSX
494,DPS,Công ty cổ phần Đầu tư Phát triển Sóc Sơn,0.6,HNX
495,DQC,Công ty Cổ phần Bóng đèn Điện Quang,18.25,HSX
496,DQMX,CTCP Đầu tư Địa ốc Đại Quang Minh,,OTC
497,DRAGON,Dragon Capital,,OTC
498,DRC,Công ty Cổ phần Cao su Đà Nẵng,19.4,HSX
499,DRH,Công ty cổ phần DRH Holdings,6.86,HSX
500,DRI,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,6.5,Upcom
501,DRL,Công ty Cổ phần Thủy điện – Điện lực 3,52,HSX
502,DS3,Công ty Cổ phần Quản lý Đường sông số 3,4,HNX
503,DSC,Công ty Cổ phần Chứng khoán Đà Nẵng,9,Upcom
504,DSG,Công ty Cổ phần Kính Viglacera Đáp Cầu,16.1,Upcom
505,DSN,Công ty Cổ phần Công viên nước Đầm Sen,56.3,HSX
506,DSP,Công ty cổ phần Dịch vụ Du lịch Phú Thọ,11.4,Upcom
507,DSS,Công ty Cổ phần Đường sắt Sài Gòn,6.1,Upcom
508,DST,Công ty Cổ phần Đầu tư Sao Thăng Long,1,HNX
509,DSV,Công ty Cổ phần Đường sắt Vĩnh Phú,7.3,Upcom
510,DT4,CTCP Quản lý bảo trì đường thủy nội địa số 4,10,Upcom
511,DTA,Công ty Cổ phần Đệ Tam,5.8,HSX
512,DTC,Công ty Cổ phần Viglacera Đông Triều,14.3,Upcom
513,DTD,Công ty Cổ phần Đầu tư phát triển Thành Đạt,15.2,HNX
514,DTG,Công ty Cổ phần Dược phẩm Tipharco,19.2,Upcom
515,DTGG,Công ty Cổ phần Đồng Tâm,,OTC
516,DTH,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,,OTC
517,DTI,Công ty Cổ phần Đầu tư Đức Trung,13.5,Upcom
518,DTK,Tổng công ty Điện lực TKV - CTCP,11.2,Upcom
519,DTL,Công ty Cổ phần Đại Thiên Lộc,25.75,HSX
520,DTN,Công ty Cổ phần Diêm Thống Nhất,6.9,Upcom
521,DTS,CTCP Dịch Vụ Du Lịch Đà Lạt,,OTC
522,DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,12.5,HSX
523,DTV,Công ty Cổ phần Phát triển điện Nông thôn Trà Vinh,20,Upcom
524,DUGARCO,Tổng Cty Đức Giang - CTCP,,OTC
525,DUYTANPLASTIC,CTCP Sản xuất Nhựa Duy Tân,,OTC
526,DVC,Công ty cổ phần Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng,9,Upcom
527,DVD,Công ty Cổ phần Dược phẩm Viễn Đông,2.01,HSX
528,DVH,Công ty cổ phần Chế tạo máy điện Việt Nam - Hungari,11,Upcom
529,DVIZ,CTCP Khu công nghiệp Đình Vũ,,OTC
530,DVN,Tổng Công ty Dược Việt Nam - CTCP,13.9,Upcom
531,DVP,Công ty cổ phần Đầu tư và Phát triển Cảng Đình Vũ,38.95,HSX
532,DVS,Công ty Cổ phần Thép Đình Vũ,,OTC
533,DVSC,Công ty Cổ phần Chứng khoán Đại Việt,,OTC
534,DVW,Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,27,Upcom
535,DWS,Công ty cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,11.2,Upcom
536,DWSVF,DWS Vietnam Fund,,OTC
537,DX2,Công ty cổ phần Đầu tư và Xây dựng 319.2,10.2,Upcom
538,DXG,Công ty Cổ phần Tập đoàn Đất Xanh,18.8,HSX
539,DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,3.1,Upcom
540,DXP,Công ty cổ phần Cảng Đoạn Xá,11.6,HNX
541,DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,2.7,HSX
542,DZM,Công ty Cổ phần Chế tạo máy Dzĩ An,2.9,HNX
543,E1SSHN30,Chứng chỉ quỹ ETF SSIAM-HNX30,9.5,HNX
544,E1VFVN30,Quỹ ETF VFMVN30,14.6,HSX
545,EAD,CTCP Thủy điện Điện lực Đắk Lắk,17.8,Upcom
546,EBS,Công ty Cổ phần Sách Giáo dục tại Tp.Hà Nội,8.4,HNX
547,ECC,Công ty Cổ phần Chứng khoán EUROCAPITAL,,OTC
548,ECI,Công ty Cổ phần Bản đồ và Tranh ảnh Giáo dục,13.8,HNX
549,EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,3.3,Upcom
550,EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,18.25,HSX
551,EIC,Công ty cổ phần EVN Quốc tế,12,Upcom
552,EID,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,12.8,HNX
553,EIFMC,Công ty quản lý quỹ Eastspring Investments,,OTC
554,EIN,Công ty cổ phần Đầu tư - Thương mại - Dịch vụ Điện lực,4.7,Upcom
555,ELC,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn thông,7,HSX
556,EMC,Công ty cổ phần Cơ điện Thủ Đức,12.5,HSX
557,EME,Công ty Cổ phần Điện cơ,47.9,Upcom
558,EMG,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,24.7,Upcom
559,EMICO,Tổng Cty Phát triển Phát thanh Truyền hình Thông tin,,OTC
560,EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,39.2,Upcom
561,EPC,Công ty TNHH Một thành viên Cà phê Ea Pốk,10.2,Upcom
562,EPH,Công ty Cổ phần dịch vụ xuất bản giáo dục Hà Nội,7.1,Upcom
563,EPS,Công ty Cổ Phần Chứng khoán Gia Quyền,,OTC
564,EVE,Công ty cổ phần Everpia,13.4,HSX
565,EVF,Công ty Tài chính cổ phần Điện lực,6.2,Upcom
566,EVG,Công ty Cổ phần Đầu tư Everland,2.84,HSX
567,EVN,Tập đoàn Điện lực Việt Nam - Công ty TNHH MTV,,OTC
568,EVNCPC,Tổng Công ty Điện lực miền Trung,,OTC
569,EVNHANOI,Tổng Công ty Điện lực Thành phố Hà Nội,,OTC
570,EVNHCMC,Tổng Công ty Điện lực Thành phố Hồ Chí Minh,,OTC
571,EVNNPC,Tổng Công ty Điện lực miền Bắc,,OTC
572,EVNNPT,Tổng Công ty Truyền tải điện Quốc gia,,OTC
573,EVNSPC,Tổng Công ty Điện lực miền Nam,,OTC
574,EVS,Công ty cổ phần Chứng khoán Everest,9.1,HNX
575,EWH,CTCP EuroWindow Holding,,OTC
576,EXIMLAND,Công ty cổ phần Bất động sản E Xim,,OTC
577,FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA,0.9,Upcom
578,FBC,Công ty Cổ phần Cơ khí Phổ Yên,5.8,Upcom
579,FBT,Công ty Cổ phần Xuất nhập khẩu Lâm Thủy sản Bến Tre,2.01,HSX
580,FCC,CTCP Liên hợp Thực phẩm,11,Upcom
581,FCM,Công ty cổ phần Khoáng sản FECON,7,HSX
582,FCN,Công ty cổ phần FECON,14.2,HSX
583,FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,9,Upcom
584,FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,13.55,HSX
585,FDG,Công ty Cổ phần Docimexco,1.1,Upcom
586,FDT,Công ty cổ phần Fiditour,36.1,HNX
587,FGL,Công ty cổ phần Cà phê Gia Lai,10,Upcom
588,FHN,Công Ty Cổ phần Xuất Nhập Khẩu Lương Thực - Thực Phẩm Hà Nội,23.8,Upcom
589,FHS,Công ty cổ phần Phát hành sách T.P Hồ Chí Minh,25.5,Upcom
590,FIC,Tổng công ty Vật Liệu Xây Dựng Số 1 - CTCP,10,Upcom
591,FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,1.4,HNX
592,FIR,Công ty Cổ phần Địa ốc First Real,39.9,HSX
593,FIS,Công ty Cổ phần Hệ thống Thông tin FPT,,OTC
594,FIT,Công ty cổ phần Tập đoàn F.I.T,3.41,HSX
595,FIVIMART,CTCP Nhất Nam,,OTC
596,FLC,Công ty cổ phần Tập đoàn FLC,4.26,HSX
597,FLCS,'',,OTC
598,FMC,Công ty Cổ phần Thực phẩm Sao Ta,30.25,HSX
599,FNS,Công ty cổ phần Chứng khoán FUNAN,,OTC
600,FOC,Công ty cổ phần Dịch vụ Trực tuyến FPT,128,Upcom
601,FORDVN,Cty TNHH Ford Việt Nam,,OTC
602,FORMOSA,Công ty TNHH Hưng Nghiệp Formosa,,OTC
603,FOX,Công ty Cổ phần Viễn thông FPT,40.8,Upcom
604,FPC,Công ty Cổ phần Full Power,2.01,HSX
605,FPT,Công ty Cổ phần FPT,47.25,HSX
606,FPTCAPITAL,Công ty Cổ phần Quản lý quỹ đầu tư FPT,,OTC
607,FPTEDU,Công ty TNHH Giáo dục FPT,,OTC
608,FPTIS,Công ty TNHH Hệ thống Thông tin FPT,,OTC
609,FPTTRADING,Công ty TNHH Thương mại FPT,,OTC
610,FRC,Công ty cổ phần Lâm đặc sản Xuất khẩu Quảng Nam,13.2,Upcom
611,FRM,Công ty cổ phần Lâm nghiệp Sài Gòn,10,Upcom
612,FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,53.7,HSX
613,FSC,Công ty Cổ phần Chứng khoán Yuanta Việt Nam,11.2,Upcom
614,FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,15,Upcom
615,FSOFT,Công ty TNHH Phần mềm FPT,,OTC
616,FT1,Công ty Cổ phần Phụ tùng máy số 1,26.8,Upcom
617,FTG,Công ty cổ phần Thương mại FPT,,OTC
618,FTI,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,2.5,Upcom
619,FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,24.85,HSX
620,FTS,Công ty Cổ phần Chứng khoán FPT,12.8,HSX
621,FTSEETF,FTSE Vietnam ETF,,OTC
622,FTV,Công ty Cổ phần Công nghiệp Ngũ Kim Fortress,,HNX
623,FUCTVGF1,Quỹ Đầu tư tăng trưởng TVAM,11.5,HSX
624,FUCTVGF2,Quỹ Đầu tư tăng trưởng Thiên Việt 2,11,HSX
625,FUCVREIT,Quỹ Đầu tư Bất động sản Techcom Việt Nam,9.05,HSX
626,FUESSV50,Quỹ ETF SSIAM VNX50,12.76,HSX
627,FUTA,CTCP Đầu tư Phương Trang,,OTC
628,G20,Công ty cổ phần Đầu tư Dệt may G.Home,0.5,Upcom
629,G36,Tổng Công ty 36 - CTCP,6,Upcom
630,GAB,Công ty Cổ phần GAB,14.25,HSX
631,GAET,Tổng Công ty Kinh tế kỹ thuật Công nghiệp quốc phòng,,OTC
632,GALAXYSTUDIO,CTCP Phim Thiên Ngân,,OTC
633,GAMI,CTCP Tập đoàn Gami,,OTC
634,GAS,Tổng Công ty Khí Việt Nam-CTCP,106.2,HSX
635,GBS,Công ty Cổ phần Chứng khoán Golden Bridge Việt Nam,1.1,HNX
636,GCB,Công ty Cổ Phần Petec Bình Định,6,Upcom
637,GCC,CTCP Văn hóa Tổng hợp Bến Thành,,OTC
638,GDC,CTCP Xuất Nhập khẩu Gia Định,,OTC
639,GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,38.2,HSX
640,GDW,Công ty Cổ phần Cấp nước Gia Định,18.9,HNX
641,GEG,Công ty cổ phần Điện Gia Lai,22.4,Upcom
642,GELEXIMCO,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,,OTC
643,GENCO1,Tổng Công ty Phát điện 1,,OTC
644,GENCO2,Tổng Công ty Phát điện 2-Công ty TNHH MTV,,OTC
645,GENTRACO,CTCP Gentraco,,OTC
646,GER,Công ty Cổ phần Thể thao Ngôi sao Geru,5.4,Upcom
647,GEX,Tổng Công ty cổ phần Thiết bị điện Việt Nam,21.4,HSX
648,GFC,Công ty Cổ phần Thủy sản Gentraco,6.2,HNX
649,GGG,Công ty cổ phần Ô tô Giải Phóng,2.2,Upcom
650,GGS,Công ty Cổ phần Giống Gia súc Hà Nội,5.1,Upcom
651,GHA,Công ty Cổ phần HAPACO Hải Âu,6.5,HNX
652,GHC,Công ty Cổ phần Thủy điện Gia Lai,33.8,Upcom
653,GHNB,Công ty Dầu ăn Golden Hope Nhà Bè,,OTC
654,GICSINGAPORE,GIC/Government of Singapore,,OTC
655,GIDITEXCO,Công ty TNHH MTV Dệt May Gia Định,,OTC
656,GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,26.7,HSX
657,GKM,Công ty Cổ phần Khang Minh Group,15.3,HNX
658,GLC,Công ty cổ phần Vàng Lào Cai,10,Upcom
659,GLS,Công ty Cổ phần Chứng khoán Sen Vàng,,OTC
660,GLT,Công ty cổ phần Kỹ thuật điện Toàn Cầu,39.3,HNX
661,GLW,Công ty Cổ phần Cấp thoát nước Gia Lai,8,Upcom
662,GMC,Công ty Cổ phần Sản xuất Thương mại May Sài Gòn,37,HSX
663,GMD,Công ty Cổ phần Gemadept,27.25,HSX
664,GMS,CTCP Thiết kế và gia công phần mền GMS888,,OTC
665,GMVN,Công ty TNHH Ô tô GM Việt Nam,,OTC
666,GMX,Công ty cổ phần Gạch Ngói Gốm Xây dựng Mỹ Xuân,22.5,HNX
667,GND,Công ty Cổ phần Gạch ngói Đồng Nai,22.8,Upcom
668,GOLDENGATE,CTCP Thương mại Dịch vụ Cổng Vàng,,OTC
669,GOLFLONGTHANH,CTCP Đầu tư và Kinh doanh golf Long Thành,,OTC
670,GPAC,Công ty Cổ phần Quản lý Quỹ Đối tác Toàn Cầu,,OTC
671,GPFUND,Công ty Cổ phần Quản lý quỹ Dầu khí Toàn Cầu,,OTC
672,GREENFEED,CTCP GreenFeed Việt Nam,,OTC
673,GSC,Công ty cổ phần Thủy điện Geruco Sông Côn,,OTC
674,GSM,Công ty cổ phần Thủy điện Hương Sơn,11.6,Upcom
675,GSP,Công ty cổ phần Vận tải Sản phẩm khí quốc tế,14.9,HSX
676,GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,13.4,HSX
677,GTC,Công ty Cổ phần Trà Rồng Vàng,2.1,Upcom
678,GTD,Công ty Cổ phần Giầy Thượng Đình,4.3,Upcom
679,GTEL,Tổng Công ty Viễn thông Toàn cầu,,OTC
680,GTH,Công ty Cổ phần Xây dựng Giao thông Thừa Thiên Huế,5,Upcom
681,GTN,Công ty cổ phần GTNfoods,18,HSX
682,GTS,CTCP Công trình Giao thông Sài Gòn,7.3,Upcom
683,GTT,Công ty Cổ phần Thuận Thảo,0.3,Upcom
684,GVR,Tập đoàn Công nghiệp Cao su Việt Nam,13.6,Upcom
685,GVT,Công ty Cổ phần Giấy Việt Trì,30.5,Upcom
686,H11,Công ty Cổ phần Xây dựng HUD101,9.2,Upcom
687,HAB,Công ty Cổ phần Sách và Thiết bị Trường học Hà Nội,28,Upcom
688,HAC,Công ty Cổ phần Chứng khoán Hải Phòng,4.3,Upcom
689,HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,22.6,HNX
690,HAF,Công ty Cổ phần Thực phẩm Hà Nội,16.6,Upcom
691,HAG,Công ty Cổ phần Hoàng Anh Gia Lai,5.37,HSX
692,HAGLLAND,CTCP Xây dựng và Phát triển Nhà Hoàng Anh,,OTC
693,HAGLSUGAR,CTCP Mía đường Hoàng Anh Gia Lai,,OTC
694,HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,13.2,HSX
695,HAI,Công ty Cổ phần Nông dược H.A.I,1.83,HSX
696,HAIAUA,CTCP Hàng không Hải Âu,,OTC
697,HALIDA,Công ty Liên doanh nhà máy bia Đông Nam Á,,OTC
698,HALLEY,Halley Sicav - Halley Asian Prosperity,,OTC
699,HALOTEXCO,CTCP Dệt may Hoàng Thị Loan,,OTC
700,HAM,Công ty Cổ phần Vật tư Hậu Giang,18,Upcom
701,HAN,Tổng công ty Xây dựng Hà Nội - CTCP,11,Upcom
702,HANAKA,CTCP Tập đoàn HANAKA,,OTC
703,HANDICO,Tổng Công ty Đầu tư và phát triển Nhà Hà Nội,,OTC
704,HANEL,Công ty TNHH MTV Hanel,,OTC
705,HANEXIM,CTCP Xuất nhập khẩu Hà Anh,,OTC
706,HANOITELECOM,CTCP Viễn thông Hà Nội,,OTC
707,HANOITOURIST,TỔNG CÔNG TY DU LỊCH HÀ NỘI - CÔNG TY TNHH,,OTC
708,HANVICO,Công ty TNHH Hàn Việt,,OTC
709,HAP,Công ty Cổ phần Tập đoàn Hapaco,3.57,HSX
710,HAPF,Công ty Cổ phần Quản lý quỹ Thái Bình Dương,,OTC
711,HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,3.96,HSX
712,HAS,Công ty Cổ phần HACISCO,7.88,HSX
713,HAT,Công ty Cổ phần Thương mại Bia Hà Nội,33,HNX
714,HAV,Công ty Cổ phần rượu Hapro,4.2,Upcom
715,HAVANA,Công ty cổ phần Hải Vân Nam,,OTC
716,HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,19.7,HSX
